Date,AVG
2006-01-03,0.2340245818151575
2006-01-04,0.23497243983045019
2006-01-05,0.23578207768434412
2006-01-06,0.2376475245125343
2006-01-09,0.23899455854213322
2006-01-10,0.2385908151910358
2006-01-11,0.2394968769178694
2006-01-12,0.23676208820814074
2006-01-13,0.23720840882314226
2006-01-17,0.23406931197603847
2006-01-18,0.23255344042447976
2006-01-19,0.23227005464868294
2006-01-20,0.2272031909029909
2006-01-23,0.22866376516586467
2006-01-24,0.2301410365148266
2006-01-25,0.2309571033756298
2006-01-26,0.2362922542053799
2006-01-27,0.2356069498167504
2006-01-30,0.23484251345038906
2006-01-31,0.23298817533454683
2006-02-01,0.23315972273448146
2006-02-02,0.23065145099238663
2006-02-03,0.2297554533453959
2006-02-06,0.23004356390157146
2006-02-07,0.22893717422462503
2006-02-08,0.2313090016018768
2006-02-09,0.23126709428962242
2006-02-10,0.23363280478391746
2006-02-13,0.23261407003846757
2006-02-14,0.23725419022628813
2006-02-15,0.2387469823174236
2006-02-16,0.24081884927448996
2006-02-17,0.2396930677532734
2006-02-21,0.2390157301876382
2006-02-22,0.24509798099549515
2006-02-23,0.24386602469748067
2006-02-24,0.24414842149319452
2006-02-27,0.24510809290895705
2006-02-28,0.24193880415248925
2006-03-01,0.2435060317562979
2006-03-02,0.2417910840576418
2006-03-03,0.2404219974869293
2006-03-06,0.23878469379159264
2006-03-07,0.23938998577675652
2006-03-08,0.23980679713102238
2006-03-09,0.23765970076727788
2006-03-10,0.24090901057968064
2006-03-13,0.24153049065073684
2006-03-14,0.24517088155632108
2006-03-15,0.24637958083196776
2006-03-16,0.24741632699248212
2006-03-17,0.24830110984943693
2006-03-20,0.24869370152399986
2006-03-21,0.24605323374108093
2006-03-22,0.2473702579476877
2006-03-23,0.2457835184584694
2006-03-24,0.2459554278523586
2006-03-27,0.24594233717972377
2006-03-28,0.24267523252751183
2006-03-29,0.2443672480429402
2006-03-30,0.24321610947815947
2006-03-31,0.24309350926722564
2006-04-03,0.24382343878448962
2006-04-04,0.24700224602137538
2006-04-05,0.24770686420000448
2006-04-06,0.2468460712846446
2006-04-07,0.24413234914139573
2006-04-10,0.24459095131567327
2006-04-11,0.24134891334518863
2006-04-12,0.2418337770598338
2006-04-13,0.24266168598415602
2006-04-17,0.24304096096851086
2006-04-18,0.2501506231664684
2006-04-19,0.2502949333549218
2006-04-20,0.250271499895581
2006-04-21,0.2496745657174949
2006-04-24,0.24889786348822862
2006-04-25,0.24715576857358212
2006-04-26,0.2501145669000638
2006-04-27,0.25355644407015543
2006-04-28,0.2567001586390099
2006-05-01,0.251132698021315
2006-05-02,0.2532240836259314
2006-05-03,0.25316906662460914
2006-05-04,0.25419524826441575
2006-05-05,0.2577792414806978
2006-05-08,0.2577764564887649
2006-05-09,0.257674358414156
2006-05-10,0.2581166553128469
2006-05-11,0.25299626629983557
2006-05-12,0.2498810188224085
2006-05-15,0.2519020184883808
2006-05-16,0.25140963310603137
2006-05-17,0.2445931539933272
